date,Palestine children,Palestine adults,Israel children,Israel adults
2023-10-07,0,232,,
2023-10-08,78,292,,
2023-10-09,91,469,,
2023-10-10,260,640,24,1245
2023-10-11,398,702,24,1245
2023-10-12,500,917,24,1245
2023-10-13,500,1400,24,1245
2023-10-14,600,1628,24,1245
2023-10-15,700,1970,24,1245
2023-10-16,853,1955,24,1245
2023-10-17,940,2060,24,1245
2023-10-18,1000,2478,24,1245
2023-10-19,1524,2261,24,1245
2023-10-20,1756,2381,24,1245
2023-10-21,1756,2629,24,1245
2023-10-22,1873,2778,24,1245
2023-10-23,2055,3032,24,1245
2023-10-24,2360,3431,24,1245
2023-10-25,2704,3843,24,1245
2023-10-26,3038,3990,24,1245
2023-10-27,3038,4288,24,1245
2023-10-28,3168,4535,24,1245
2023-10-29,3324,4681,24,1245
2023-10-30,3457,4852,24,1245
2023-10-31,3542,4983,24,1248
2023-11-01,3650,5155,24,1260
2023-11-02,3760,5301,24,1262
2023-11-03,3826,5431,24,1269
2023-11-04,3900,5585,24,1273
2023-11-05,4008,5762,24,1274
2023-11-06,4108,5914,24,1275
2023-11-07,4237,6091,24,1275
2023-11-08,4324,6245,24,1278
2023-11-09,4412,6406,24,1280
2023-11-10,4506,6572,24,1287
2023-11-11,4540,6589,24,1292
2023-11-12,4609,6571,24,1292
2023-11-13,4630,6610,24,1294
2023-11-14,4650,6670,24,1296
2023-11-15,4710,6790,24,1298
2023-11-16,5000,7000,24,1301
2023-11-17,5000,7000,24,1301
2023-11-18,5000,7300,24,1307
2023-11-19,5500,7500,24,1314
2023-11-20,5600,7700,24,1316
2023-11-21,5840,8288,24,1318
2023-11-22,6000,8532,24,1320
2023-11-23,6150,8650,24,1320
2023-11-24,6150,8650,24,1320
2023-11-25,6150,8650,24,1320
2023-11-26,6150,8650,24,1320
2023-11-27,6150,8650,24,1320
2023-11-28,6150,8650,24,1320
2023-11-29,6150,8650,24,1320
2023-11-30,6150,8650,24,1320
2023-12-01,6150,8650,24,1320
2023-12-02,6387,8820,24,1320
2023-12-03,6600,8923,24,1322
2023-12-04,6800,9099,24,1325
2023-12-05,7112,9136,24,1330
2023-12-06,7550,9277,24,1333
2023-12-07,7729,9448,24,1338
2023-12-08,7729,9758,24,1342
2023-12-09,7870,9830,24,1346
2023-12-10,7875,10122,24,1343
2023-12-11,7900,10305,24,1349
2023-12-12,8000,10412,24,1350
2023-12-13,8000,10608,24,1360
2023-12-14,8000,10787,24,1360
2023-12-14,8000,10787,24,1361
2023-12-15,8000,10800,24,1364
2023-12-16,8000,11017,24,1364
2023-12-17,8000,11235,24,1364
2023-12-18,8000,11453,24,1374
2023-12-19,8000,11667,24,1377
2023-12-20,8000,11797,24,1379
2023-12-21,8000,11927,24,1383
2023-12-22,8000,12057,24,1385
2023-12-23,8200,12058,24,1385
2023-12-24,8200,12224,24,1385
2023-12-25,8500,12174,24,1385
2023-12-26,8500,12415,24,1407
2023-12-27,8800,12310,24,1407
2023-12-28,8800,12520,24,1410
2023-12-29,8800,12707,24,1411
2023-12-30,9000,12672,24,1413
2023-12-31,9100,12722,24,1413
2024-01-01,9280,12698,24,1413
2024-01-02,9280,12905,24,1416
2024-01-03,9400,12913,24,1418
2024-01-04,9730,12708,24,1418
2024-01-04,9730,12708,24,1418
2024-01-05,9730,12870,24,1418
2024-01-06,10000,12722,24,1418
2024-01-07,10000,12835,24,1419
2024-01-08,10000,13084,24,1419
2024-01-09,10000,13210,24,1428
2024-01-10,10000,13357,24,1429
2024-01-11,10300,13169,24,1429
2024-01-12,10300,13408,24,1429
2024-01-13,10400,13443,24,1429
2024-01-14,10600,13368,24,1431
2024-01-15,10600,13500,24,1431
2024-01-16,10600,13685,24,1433
2024-01-17,10600,13848,24,1436
2024-01-18,10800,13820,24,1436
2024-01-19,10800,13962,24,1436
2024-01-20,10800,14127,24,1436
2024-01-21,10800,14305,24,1438
2024-01-22,11000,14295,24,1441
2024-01-23,11000,14490,24,1462
2024-01-24,11000,14700,24,1462
2024-01-25,11000,14900,24,1462
2024-01-26,11000,15083,24,1463
