date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2023-10-07,0,0,232,,,232,71.90892150011646,-71.90892150011646,232
2023-10-08,0,78,292,,,370,114.68233170277195,-36.68233170277195,292
2023-10-09,6,91,469,,,560,173.57325879338458,-82.57325879338458,469
2023-10-10,6,260,640,24,1245,900,278.95702306079664,-18.957023060796644,640
2023-10-11,6,398,702,24,1245,1100,340.94747262986255,57.052527370137454,702
2023-10-12,6,500,917,24,1245,1417,439.20233519683205,60.79766480316795,917
2023-10-13,7,500,1400,24,1245,1900,588.9092709061263,-88.90927090612627,1400
2023-10-14,11,600,1628,24,1245,2228,690.5736081993944,-90.57360819939436,1628
2023-10-15,11,700,1970,24,1245,2670,827.5725017470301,-127.57250174703006,1970
2023-10-16,11,853,1955,24,1245,2808,870.3459119496855,-17.3459119496855,1955
2023-10-17,25,940,2060,24,1245,3000,929.8567435359888,10.143256464011188,2060
2023-10-18,27,1000,2478,24,1245,3478,1078.0139180060564,-78.01391800605643,2478
2023-10-19,28,1524,2261,24,1245,3785,1173.1692580945726,350.83074190542743,2261
2023-10-20,28,1756,2381,24,1245,4137,1282.2724493361286,473.7275506638714,2381
2023-10-21,29,1756,2629,24,1245,4385,1359.1406068017702,396.8593931982298,2629
2023-10-22,35,1873,2778,24,1245,4651,1441.587904728628,431.412095271372,2778
2023-10-23,40,2055,3032,24,1245,5087,1576.7270847891916,478.2729152108084,3032
2023-10-24,49,2360,3431,24,1245,5791,1794.9334672723037,565.0665327276963,3431
2023-10-25,54,2704,3843,24,1245,6547,2029.257366643373,674.742633356627,3843
2023-10-26,55,3038,3990,24,1245,7028,2178.3443978569762,859.6556021430238,3990.0000000000005
2023-10-27,55,3038,4288,24,1245,7326,2270.710167714885,767.2898322851152,4288
2023-10-28,55,3168,4535,24,1245,7703,2387.562165152574,780.4378348474261,4535
2023-10-29,57,3324,4681,24,1245,8005,2481.1677440018634,842.8322559981366,4681
2023-10-30,58,3457,4852,24,1245,8309,2575.3932273468436,881.6067726531564,4852
2023-10-31,59,3542,4983,24,1248,8525,2642.342912881435,899.657087118565,4983
2023-11-01,59,3650,5155,24,1260,8805,2729.1295422781272,920.8704577218728,5155
2023-11-02,72,3760,5301,24,1262,9061,2808.4773177265315,951.5226822734685,5301
2023-11-03,74,3826,5431,24,1269,9257,2869.227958304216,956.7720416957841,5431
2023-11-04,75,3900,5585,24,1273,9485,2939.8970708129514,960.1029291870486,5585
2023-11-05,82,4008,5762,24,1274,9770,3028.23346144887,979.76653855113,5762
2023-11-06,84,4108,5914,24,1275,10022,3106.3414279058934,1001.6585720941066,5914
2023-11-07,84,4237,6091,24,1275,10328,3201.186815746564,1035.8131842534358,6091
2023-11-08,84,4324,6245,24,1278,10569,3275.8853074772887,1048.1146925227113,6245
2023-11-09,84,4412,6406,24,1280,10818,3353.0634171907755,1058.9365828092245,6406
2023-11-10,84,4506,6572,24,1287,11078,3433.6510016305615,1072.3489983694385,6572
2023-11-11,87,4540,6589,24,1292,11129,3449.458566270673,1090.5414337293269,6589
2023-11-12,89,4609,6571,24,1292,11180,3465.266130910785,1143.7338690892152,6571
2023-11-13,92,4630,6610,24,1294,11240,3483.8632657815047,1146.1367342184953,6610
2023-11-14,92,4650,6670,24,1296,11320,3508.659445609131,1141.3405543908689,6670
2023-11-15,92,4710,6790,24,1298,11500,3564.4508502212902,1145.5491497787098,6790
2023-11-16,94,5000,7000,24,1301,12000,3719.4269741439552,1280.5730258560448,7000
2023-11-17,94,5000,7000,24,1301,12000,3719.4269741439552,1280.5730258560448,7000
2023-11-18,94,5000,7300,24,1307,12300,3812.412648497554,1187.587351502446,7300.000000000001
2023-11-19,94,5500,7500,24,1314,13000,4029.379221989285,1470.6207780107152,7499.999999999999
2023-11-20,97,5600,7700,24,1316,13300,4122.364896342884,1477.635103657116,7700
2023-11-21,106,5840,8288,24,1318,14128,4379.005357558816,1460.9946424411837,8288
2023-11-22,112,6000,8532,24,1320,14532,4504.22606568833,1495.77393431167,8532
2023-11-23,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-24,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
