date,killed_soldiers_gaza
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,3
2023-11-01,15
2023-11-02,17
2023-11-03,24
2023-11-04,28
2023-11-05,29
2023-11-06,30
2023-11-07,30
2023-11-08,33
2023-11-09,35
2023-11-10,42
2023-11-11,47
2023-11-12,47
2023-11-13,49
2023-11-14,51
2023-11-15,53
2023-11-16,56
2023-11-17,56
2023-11-18,62
2023-11-19,69
2023-11-20,71
2023-11-21,73
2023-11-22,75
2023-11-23,75
2023-11-24,75
2023-11-25,75
2023-11-26,75
2023-11-27,75
2023-11-28,75
2023-11-29,75
2023-11-30,75
2023-12-01,75
2023-12-02,75
2023-12-03,77
2023-12-04,80
2023-12-05,85
2023-12-06,88
2023-12-07,93
2023-12-08,97
2023-12-09,101
2023-12-10,98
2023-12-11,104
2023-12-12,105
2023-12-13,115
2023-12-14,115
2023-12-14,116
2023-12-15,119
2023-12-16,119
2023-12-18,129
2023-12-19,132
2023-12-20,134
2023-12-21,138
2023-12-22,140
2023-12-26,162
2023-12-27,162
2023-12-28,165
2023-12-29,166
2023-12-30,168
2024-01-02,171
2024-01-03,173
2024-01-04,173
2024-01-04,173
2024-01-07,174
2024-01-08,174
2024-01-09,183
2024-01-10,184
2024-01-11,184
2024-01-12,184
2024-01-14,186
2024-01-15,186
2024-01-16,188
2024-01-17,191
2024-01-18,191
2024-01-19,191
2024-01-21,193
2024-01-22,196
2024-01-23,217
2024-01-24,217
2024-01-25,217
2024-01-26,218
2024-01-28,218
2024-01-29,218
2024-01-30,218
2024-01-31,222
2024-02-01,222
2024-02-02,222
2024-02-04,223
2024-02-05,223
2024-02-06,224
2024-02-07,225
2024-02-08,225
2024-02-09,225
2024-02-12,227
2024-02-13,230
2024-02-14,230
2024-02-15,230
2024-02-16,232
2024-02-19,233
2024-02-20,234
2024-02-21,235
2024-02-22,235
2024-02-23,235
2024-02-26,238
2024-02-27,238
2024-02-28,240
2024-02-29,240
2024-03-01,240
2024-03-04,244
2024-03-05,244
2024-03-06,244
2024-03-07,245
2024-03-08,250
2024-03-21,250
2024-03-22,250
2024-03-25,251
2024-03-27,251
2024-03-29,252
2024-04-03,255
2024-04-05,255
2024-04-08,259
2024-04-12,259
2024-04-15,259
2024-04-17,259
2024-04-19,259
2024-04-22,259
2024-04-24,260
2024-04-26,260
2024-04-29,260
2024-05-01,262
2024-05-03,262
2024-05-06,266
2024-05-08,266
2024-05-10,266
2024-05-13,272
2024-05-15,273
2024-05-17,279
2024-05-20,282
2024-05-22,282
2024-05-29,290
2024-05-31,293
2024-06-03,293
2024-06-07,294
2024-06-10,295
2024-06-14,299
2024-06-21,312
2024-06-24,313
2024-06-24,314
2024-07-01,317
2024-07-05,323
2024-07-08,324
2024-07-12,326
2024-07-15,326
2024-07-19,326
2024-07-22,326
2024-07-26,328
2024-07-29,329
2024-08-02,329
2024-08-05,329
2024-08-09,329
2024-08-12,330
2024-08-16,330
2024-08-19,332
2024-08-23,332
2024-08-26,338
2024-08-30,339
2024-09-06,340
2024-09-09,340
2024-09-13,342
2024-09-16,342
2024-09-20,346
2024-09-23,346
2024-09-27,346
